Panel,Protein,Uniprot,OlinkRef,Diagnosis,Inter subject,Biotemporal
IMMUNO-ONCOLOGY,CD83,Q01151,OID00841,0,75.58061119089848,24.419388809101527
IMMUNO-ONCOLOGY,CD8A,P01732,OID00772,0,87.97033765487765,12.029662345122347
IMMUNO-ONCOLOGY,CRTAM,O95727,OID00766,0,79.8553513805615,20.144648619438502
IMMUNO-ONCOLOGY,CSF.1,P09603,OID00843,0.9702974454866052,60.127965719258924,38.90173683525447
IMMUNO-ONCOLOGY,CX3CL1,P78423,OID00806,0,74.82964401185518,25.170355988144827
IMMUNO-ONCOLOGY,CXCL1,P09341,OID00786,0.756144752624087,34.88127971646192,64.362575530914
IMMUNO-ONCOLOGY,CXCL10,P02778,OID00807,0,59.274591883590745,40.72540811640925
IMMUNO-ONCOLOGY,CXCL11,O14625,OID00767,0,41.05953572372554,58.94046427627446
IMMUNO-ONCOLOGY,CXCL12,P48061,OID00824,2.795074252191435,47.52724867104717,49.6776770767614
IMMUNO-ONCOLOGY,CXCL13,O43927,OID00830,0,77.02395568290918,22.976044317090818
IMMUNO-ONCOLOGY,CXCL5,P42830,OID00801,1.3072825763504254,47.71657856043097,50.97613886321861
IMMUNO-ONCOLOGY,CXCL9,Q07325,OID00771,0,77.1348378114825,22.8651621885175
IMMUNO-ONCOLOGY,DCN,P07585,OID00817,9.604871358732893,75.41676213255143,14.978366508715679
IMMUNO-ONCOLOGY,EGF,P01133,OID00759,0,53.60108566958951,46.39891433041048
IMMUNO-ONCOLOGY,FASLG,P48023,OID00792,1.9201648132674052,81.87944290424637,16.200392282486227
IMMUNO-ONCOLOGY,FGF2,P09038,OID00770,0,46.75647545769832,53.243524542301685
IMMUNO-ONCOLOGY,Gal.1,P09382,OID00798,0,56.314550076519055,43.68544992348094
IMMUNO-ONCOLOGY,Gal.9,O00182,OID00779,0,80.34828570790607,19.651714292093917
IMMUNO-ONCOLOGY,GZMA,P12544,OID00804,0,52.21149500882094,47.78850499117906
IMMUNO-ONCOLOGY,GZMB,P10144,OID00840,0,54.80512008169997,45.19487991830003
IMMUNO-ONCOLOGY,GZMH,P20718,OID00783,0,57.622697874266805,42.377302125733195
IMMUNO-ONCOLOGY,HGF,P14210,OID00803,0.5472153523246096,53.316020887367515,46.136763760307865
IMMUNO-ONCOLOGY,HO.1,P09601,OID00805,0,68.98264675374624,31.017353246253755
